target_lang|closest_lang_0|fixed_dist_0|closest_lang_1|fixed_dist_1|closest_lang_2|fixed_dist_2|closest_lang_3|fixed_dist_3|closest_lang_4|fixed_dist_4
acf|mkn|0.5|guh|0.5|npl|0.5|gng|0.5|guo|0.5
acr|tel|0.5|imo|0.5|stp|0.5|zar|0.5|cab|0.5
acu|bkd|0.5|jic|0.5|ztq|0.5|cuk|0.5|taj|0.5
afr|azj|0.5|nhu|0.5|tbg|0.5|ctu|0.5|gym|0.5
agd|bel|0.5|mkl|0.5|kdl|0.5|klv|0.5|ron|0.5
agg|nch|0.5|not|0.5|lid|0.5|zad|0.5|ibo|0.5
agn|kwf|0.5|atg|0.5|gym|0.5|dgo|0.5|asm|0.5
agr|snd|0.5|taj|0.5|chv|0.5|geb|0.5|nld|0.5
agu|vie|0.5|cjo|0.5|chv|0.5|mop|0.5|med|0.5
aia|guh|0.5|mpm|0.5|cle|0.5|mqj|0.5|zab|0.5
ake|kyf|0.5|kyq|0.5|zyp|0.5|ote|0.5|ttc|0.5
alp|tue|0.5|pao|0.5|iou|0.5|mcp|0.5|eng|0.5
ame|tgo|0.5|bem|0.5|yal|0.5|gng|0.5|imo|0.5
amf|txq|0.5|vid|0.5|zpl|0.5|lat|0.5|dgo|0.5
amh|nab|0.5|bfz|0.5|spp|0.5|kmu|0.5|mri|0.5
amk|far|0.5|tos|0.5|pol|0.5|tgp|0.5|nhy|0.5
apb|spp|0.5|hub|0.5|nnq|0.5|nhu|0.5|lgl|0.5
apr|gam|0.5|tav|0.5|ign|0.5|cgc|0.5|swh|0.5
arb|kor|0.5|mbh|0.5|tuo|0.5|mqb|0.5|spp|0.5
arl|por|0.5|cmn|0.5|loz|0.5|prf|0.5|byr|0.5
asm|ake|0.5|kaz|0.5|noa|0.5|spa|0.5|tgp|0.5
ast|mpp|0.5|kdc|0.5|lin|0.5|cjo|0.5|cgc|0.5
ata|ttc|0.5|sna|0.5|aia|0.5|cco|0.5|cab|0.5
atb|bpr|0.5|otq|0.5|cbt|0.5|kfx|0.5|iba|0.5
atg|zac|0.5|kde|0.5|nfa|0.5|gum|0.5|tpi|0.5
awb|pab|0.5|knf|0.5|maj|0.5|nab|0.5|tac|0.5
azg|fra|0.5|tur|0.5|zty|0.5|kyc|0.5|bnp|0.5
azj|zaw|0.5|mbc|0.5|cuk|0.5|kan|0.5|usp|0.5
azz|kan|0.5|con|0.5|suz|0.5|usp|0.5|yka|0.5
bao|hlt|0.5|nnq|0.5|sna|0.5|agn|0.5|zai|0.5
bba|umb|0.5|hau|0.5|zaw|0.5|guo|0.5|gym|0.5
bbb|spy|0.5|gvc|0.5|gub|0.5|nhu|0.5|txu|0.5
bel|guh|0.5|ake|0.5|rai|0.5|wap|0.5|qvn|0.5
bem|bus|0.5|klv|0.5|sus|0.5|xed|0.5|nfa|0.5
ben|apr|0.5|swh|0.5|gyr|0.5|ycn|0.5|pab|0.5
bfz|bhd|0.5|hin|0.5|bps|0.5|gng|0.5|ell|0.5
bgc|ese|0.5|quh|0.5|ast|0.5|tca|0.5|eng|0.5
bgt|hun|0.5|kaz|0.5|cle|0.5|lat|0.5|ctu|0.5
bhd|bba|0.5|tgo|0.5|ben|0.5|kek|0.5|tcs|0.5
bjr|agr|0.5|ltz|0.5|bjv|0.5|ory|0.5|miz|0.5
bjv|kaq|0.5|tnn|0.5|tna|0.5|ake|0.5|swe|0.5
bjz|hun|0.5|zaw|0.5|lin|0.5|toi|0.5|bao|0.5
bkd|wol|0.5|mgh|0.5|meq|0.5|tbc|0.5|kwd|0.5
blz|kam|0.5|spp|0.5|ztq|0.5|zpl|0.5|tel|0.5
bmr|bao|0.5|mxb|0.5|crn|0.5|tgo|0.5|zad|0.5
bmu|hto|0.5|spy|0.5|fon|0.5|gwi|0.5|myk|0.5
bnp|lvs|0.5|muy|0.5|srp|0.5|isl|0.5|khm|0.5
boa|apr|0.5|cuc|0.5|ycn|0.5|xnr|0.5|bpr|0.5
boj|bgc|0.5|pad|0.5|pir|0.5|agg|0.5|kwf|0.5
bos|boa|0.5|ote|0.5|mop|0.5|snn|0.5|spa|0.5
box|cat|0.5|cbt|0.5|qvw|0.5|mee|0.5|ukr|0.5
bpr|pao|0.5|qvs|0.5|byr|0.5|soy|0.5|cpa|0.5
bps|vid|0.5|qxo|0.5|kvn|0.5|gux|0.5|sja|0.5
bqc|med|0.5|qvz|0.5|isl|0.5|cbv|0.5|mqj|0.5
bqp|zar|0.5|arl|0.5|som|0.5|toi|0.5|rus|0.5
bss|imo|0.5|xnr|0.5|bfz|0.5|tue|0.5|vmy|0.5
bul|dik|0.5|ndj|0.5|myk|0.5|mal|0.5|cap|0.5
bus|kfx|0.5|arl|0.5|srm|0.5|toi|0.5|chz|0.5
byr|cot|0.5|cab|0.5|mdy|0.5|agr|0.5|bps|0.5
bzh|zav|0.5|tgp|0.5|zab|0.5|emp|0.5|qvh|0.5
bzj|snp|0.5|iba|0.5|cbc|0.5|tpi|0.5|mkd|0.5
caa|zab|0.5|cym|0.5|ziw|0.5|mbt|0.5|bkd|0.5
cab|cwe|0.5|trc|0.5|mkl|0.5|toc|0.5|maj|0.5
cap|lbb|0.5|geb|0.5|bss|0.5|cjo|0.5|mar|0.5
car|nhy|0.5|bem|0.5|kfs|0.5|yka|0.5|nas|0.5
cat|glg|0.5|agu|0.5|qxh|0.5|xtm|0.5|loz|0.5
cax|con|0.5|glk|0.5|prf|0.5|ikk|0.5|ces|0.5
cbc|kdl|0.5|vie|0.5|noa|0.5|pab|0.5|mca|0.5
cbi|yal|0.5|wol|0.5|hrv|0.5|gng|0.5|ake|0.5
cbr|mxq|0.5|seh|0.5|zpl|0.5|cui|0.5|mcq|0.5
cbs|kwf|0.5|amh|0.5|bel|0.5|deu|0.5|ata|0.5
cbt|slk|0.5|ttc|0.5|tuf|0.5|yva|0.5|acf|0.5
cbu|hye|0.5|tav|0.5|boj|0.5|pol|0.5|zpu|0.5
cbv|azg|0.5|agn|0.5|kfs|0.5|kne|0.5|tnp|0.5
cco|bqp|0.5|atb|0.5|qxh|0.5|kyf|0.5|dik|0.5
ceb|taj|0.5|huv|0.5|zaa|0.5|pls|0.5|cbv|0.5
cek|ncu|0.5|mkl|0.5|arb|0.5|gai|0.5|cat|0.5
ces|mbt|0.5|qxn|0.5|hrv|0.5|mio|0.5|eng|0.5
cgc|gub|0.5|qvz|0.5|kea|0.5|usp|0.5|mih|0.5
chf|ken|0.5|dgr|0.5|hlt|0.5|mit|0.5|bos|0.5
chv|amh|0.5|cbt|0.5|khm|0.5|tgk|0.5|xnr|0.5
chz|gub|0.5|kde|0.5|crn|0.5|boj|0.5|sna|0.5
cjo|boa|0.5|yka|0.5|ote|0.5|agr|0.5|kyg|0.5
cle|ngp|0.5|tgp|0.5|qvm|0.5|wol|0.5|qvc|0.5
cme|pls|0.5|zpl|0.5|cjo|0.5|kje|0.5|txq|0.5
cmn|chf|0.5|cpb|0.5|zai|0.5|isl|0.5|azz|0.5
cni|mbb|0.5|yva|0.5|nca|0.5|zao|0.5|cbt|0.5
cnl|fon|0.5|nld|0.5|swh|0.5|acf|0.5|qub|0.5
cnt|zad|0.5|prf|0.5|sdh|0.5|zpl|0.5|tgo|0.5
cof|knf|0.5|xtd|0.5|ast|0.5|mqj|0.5|maj|0.5
con|cab|0.5|jic|0.5|quf|0.5|yal|0.5|bzj|0.5
cot|zsm|0.5|myy|0.5|yaa|0.5|mee|0.5|xnr|0.5
cpa|imo|0.5|snp|0.5|yaa|0.5|por|0.5|ncj|0.5
cpb|pan|0.5|iba|0.5|yor|0.5|ncl|0.5|mxt|0.5
cpu|sri|0.5|apb|0.5|knj|0.5|yva|0.5|dah|0.5
crn|taj|0.5|cuc|0.5|zam|0.5|gym|0.5|srm|0.5
cso|tcs|0.5|grc|0.5|ngu|0.5|mox|0.5|nfa|0.5
ctu|pst|0.5|not|0.5|omw|0.5|mbh|0.5|ncj|0.5
cuc|mar|0.5|kaq|0.5|pls|0.5|srn|0.5|car|0.5
cui|gub|0.5|agr|0.5|kyf|0.5|lug|0.5|quf|0.5
cuk|kfx|0.5|npl|0.5|arl|0.5|hlt|0.5|rug|0.5
cwe|mbb|0.5|kor|0.5|vid|0.5|klv|0.5|msy|0.5
cya|xtd|0.5|khm|0.5|heb|0.5|meq|0.5|kmu|0.5
cym|wmw|0.5|jac|0.5|pls|0.5|ngp|0.5|lug|0.5
daa|bjv|0.5|urt|0.5|kea|0.5|ltz|0.5|ell|0.5
dah|bzh|0.5|tur|0.5|urb|0.5|cbc|0.5|ory|0.5
dan|tfr|0.5|tca|0.5|ltz|0.5|guo|0.5|soy|0.5
ded|cuk|0.5|jav|0.5|mbt|0.5|cab|0.5|byr|0.5
deu|mxt|0.5|jvn|0.5|agr|0.5|bqp|0.5|kan|0.5
dgo|ben|0.5|nch|0.5|lid|0.5|srn|0.5|tfr|0.5
dgr|bqc|0.5|cek|0.5|cuc|0.5|snp|0.5|tcs|0.5
dik|mqj|0.5|zos|0.5|zlm|0.5|ltz|0.5|bel|0.5
djk|zai|0.5|vmy|0.5|kne|0.5|upv|0.5|ctu|0.5
dop|lex|0.5|zpu|0.5|kyz|0.5|tgk|0.5|eng|0.5
ekk|mqb|0.5|tgp|0.5|arl|0.5|sab|0.5|tnp|0.5
ell|lid|0.5|mbc|0.5|srn|0.5|pan|0.5|heb|0.5
emp|lex|0.5|iba|0.5|ake|0.5|cek|0.5|mil|0.5
eng|bpr|0.5|bss|0.5|iba|0.5|cbr|0.5|kyz|0.5
ese|bnp|0.5|gam|0.5|toi|0.5|tuo|0.5|mcd|0.5
far|kfs|0.5|tfr|0.5|qxn|0.5|mqb|0.5|spa|0.5
fil|urd|0.5|gux|0.5|atb|0.5|mto|0.5|fon|0.5
fin|cpa|0.5|gvc|0.5|usp|0.5|jac|0.5|nhu|0.5
fon|luo|0.5|pao|0.5|urd|0.5|kde|0.5|ikk|0.5
fra|lww|0.5|kan|0.5|blz|0.5|zga|0.5|hin|0.5
gai|mit|0.5|kdc|0.5|cot|0.5|cco|0.5|nnq|0.5
gam|not|0.5|hin|0.5|cbs|0.5|amf|0.5|sja|0.5
gbk|mbh|0.5|maz|0.5|kfx|0.5|zpu|0.5|ncl|0.5
geb|imo|0.5|fin|0.5|kat|0.5|cpa|0.5|lgl|0.5
gle|myk|0.5|kne|0.5|cnt|0.5|spp|0.5|ken|0.5
glg|spp|0.5|oci|0.5|bao|0.5|tuo|0.5|kdl|0.5
glk|ame|0.5|mox|0.5|lug|0.5|tnk|0.5|urd|0.5
gng|pir|0.5|cbu|0.5|kat|0.5|kik|0.5|bul|0.5
grc|snp|0.5|lvs|0.5|mqj|0.5|kwf|0.5|kde|0.5
gub|toc|0.5|huu|0.5|pls|0.5|soy|0.5|xnr|0.5
guh|zpz|0.5|mox|0.5|qub|0.5|qwh|0.5|atb|0.5
guj|zab|0.5|grc|0.5|bus|0.5|kik|0.5|tac|0.5
gum|con|0.5|iba|0.5|kam|0.5|arb|0.5|tcs|0.5
guo|tcs|0.5|kaq|0.5|bqp|0.5|meq|0.5|rus|0.5
gux|yad|0.5|nko|0.5|vid|0.5|dah|0.5|quh|0.5
gvc|ksr|0.5|jac|0.5|poi|0.5|zai|0.5|pao|0.5
gwi|myy|0.5|cpb|0.5|zai|0.5|kfx|0.5|tuo|0.5
gym|atb|0.5|agd|0.5|ind|0.5|cme|0.5|crn|0.5
gyr|hns|0.5|zas|0.5|tpt|0.5|urb|0.5|pib|0.5
hat|cgc|0.5|mri|0.5|kyf|0.5|zad|0.5|npl|0.5
hau|jiv|0.5|ita|0.5|ngu|0.5|zsm|0.5|huu|0.5
heb|mkn|0.5|mbj|0.5|qve|0.5|yre|0.5|ksr|0.5
hin|sdh|0.5|chz|0.5|atg|0.5|gym|0.5|ptu|0.5
hlt|afr|0.5|zpl|0.5|spa|0.5|ron|0.5|sxb|0.5
hns|glg|0.5|kyz|0.5|tbz|0.5|zac|0.5|mbj|0.5
